ega_file_id	dataset_id	ega_sample_id	ega_analysis_accession	encrypted_file_md5sum	ega_run_id	project_code	file_name	file_size	submitter_sample_id	file_md5sum	ega_experiment_id
EGAF00000236536	EGAD00001003842	EGAN00001167688		d794d16048441bab468ccfcdeddf0668	EGAR00001131280	ESAD-UK	pilot2/SS6003110.bam	214559000000	SS6003110	23b557319e831cb7305ed7d66f714bc6	EGAX00001127393
EGAF00000661605	EGAD00001003842	EGAN00001246584		653c22232192f8d8d462435b1dda7461	EGAR00001253303	ESAD-UK	LP6005935-DNA_C01.bam	122166000000	LP6005935-DNA_C01	6ba3e47678d9b7fcf732b43aa2a186c3	EGAX00001238203
EGAF00001179994	EGAD00001003842	EGAN00001391399		0768c77d6dde771b42fff078a14ef40b	EGAR00001436381	ESAD-UK	LP6008201-DNA_C01.bam	54792120832	LP6008201-DNA_C01	13790f49f7cc196dcf4fae47f232f8ea	EGAX00001399272
EGAF00001180910	EGAD00001003842	EGAN00001391344		f488ca0154bca8048f180a5ede18fd33	EGAR00001436332	ESAD-UK	LP6008202-DNA_B02.bam		LP6008202-DNA_B02	d6e0e41becdced31d555a8583445d668	EGAX00001399223
EGAF00001180993	EGAD00001003842	EGAN00001391358		d00575ca4e16d585fb11ef50bc57a999	EGAR00001436346	ESAD-UK	LP6008221-DNA_D01.bam	102353000000	LP6008221-DNA_D01	072553c852c97eea51e0ad34b98ec99f	EGAX00001399237
EGAF00000235888	EGAD00001003842	EGAN00001167667		25e4440558cef583d3958f9bfd4c998e	EGAR00001130632	ESAD-UK	pilot1/SS6003119.bam	155565000000	SS6003119	c5f148c1f0089d5645915884e67b8e80	EGAX00001126745
EGAF00000530910	EGAD00001003842	EGAN00001201514		383ef34d9b5e8a4f8b0b81e51df4eeff	EGAR00001193698	ESAD-UK	LP6007524-DNA_A01.bam	125814000000	LP6007524-DNA_A01	048bf5ecf72ac6dc967a778d84e4bc9e	EGAX00001188476
EGAF00000905632	EGAD00001003842	EGAN00001342127		c013bb27a3ed551c19e5db628b901178	EGAR00001370176	ESAD-UK	LP6008138-DNA_E01.bam	48849553688	LP6008138-DNA_E01	067dd1af60848eb54770c847ddaedc1b	EGAX00001340349
EGAF00000530896	EGAD00001003842	EGAN00001201500		1a107002b87a330c9fe7e7fcfac67bfa	EGAR00001193684	ESAD-UK	LP6007538-DNA_A01.bam	145647000000	LP6007538-DNA_A01	914c52f8b69db5f9bca3738ac74c0bee	EGAX00001188462
EGAF00000560177	EGAD00001003842	EGAN00001202514		9de835935858320a5d5b3fb4d0fd5953	EGAR00001202545	ESAD-UK	LP6005500-DNA_A03.bam	161268000000	LP6005500-DNA_A03	731095a8d12b1d31b95e1e4c9ad87c55	EGAX00001197201
EGAF00000525472	EGAD00001003842	EGAN00001198380		ad8f7bcf36c5fe4013559aa498a185f2	EGAR00001193127	ESAD-UK	LP6005690-DNA_D03.bam	241146000000	LP6005690-DNA_D03	4124b15226850fde42d5834fe57496ff	EGAX00001187905
EGAF00000814116	EGAD00001003842	EGAN00001277452		45d44309a2ba49acd6f153c4739b7f47	EGAR00001325083	ESAD-UK	LP6008051-DNA_B01.bam	89565697427	LP6008051-DNA_B01	67cd748a0f8f3c17aef02aeb7ba45a55	EGAX00001296369
EGAF00000814091	EGAD00001003842	EGAN00001277379		5082a29d9d8bcfb7a5ff6c3a465aa140	EGAR00001325010	ESAD-UK	LP6008032-DNA_B01.bam	53979618236	LP6008032-DNA_B01	3ab2d91fb63b456c9bd8aa3fa25ff61a	EGAX00001296296
EGAF00001415436	EGAD00001003842	EGAN00001467526		c3382727937ae387f6960c1f76dbb9c2	EGAR00001500340	ESAD-UK	LP6008264-DNA_G01.bam		LP6008264-DNA_G01	720382d73fe40d7725fd6c5d7288da2f	EGAX00001462778
EGAF00000586534	EGAD00001003842	EGAN00001213590		d07c9ca91be1281db7b4e6821209a540	EGAR00001219090	ESAD-UK	LP6005333-DNA_C03.bam	108950000000	LP6005333-DNA_C03	6bf697363fdff7418f19a91691cf8610	EGAX00001207532
EGAF00000525520	EGAD00001003842	EGAN00001200013		6c903fbb89d84e711db22d8b75c38bf5	EGAR00001193175	ESAD-UK	LP6007441-DNA_A01.bam	100341000000	LP6007441-DNA_A01	fc2e74f1e31f8747881f6e58e2cf6248	EGAX00001187953
EGAF00000525237	EGAD00001003842	EGAN00001198191		fdb2b2954cd57e2c296c52d303d14039	EGAR00001192973	ESAD-UK	LP6005409-DNA_B02.bam	156832000000	LP6005409-DNA_B02	1210af12f49d6c20738b6dc89ddf3030	EGAX00001187751
EGAF00001680713	EGAD00001003842	EGAN00001558993		3452fffe73459e07f8c8d4f43c6f1d53	EGAR00001566582	ESAD-UK	LP6008268-DNA_B09.bam		LP6008268-DNA_B09	27ac1c2e492a39576e38b82289e5311a	EGAX00001522348
EGAF00000525511	EGAD00001003842	EGAN00001200004		37d4a867271e665276afe778f59171c7	EGAR00001193166	ESAD-UK	LP6007421-DNA_A01.bam	85686958749	LP6007421-DNA_A01	d631251feb592fef942a40e4bccedc14	EGAX00001187944
EGAF00000525244	EGAD00001003842	EGAN00001198198		60899692a456ae8b02aed1bcd37a78ea	EGAR00001192980	ESAD-UK	LP6005409-DNA_E03.bam	158945000000	LP6005409-DNA_E03	06fccd78d12055d6a081fc92e2fe6cd6	EGAX00001187758
EGAF00000501980	EGAD00001003842	EGAN00001192277		356447b7a7de222c6252eea6e742176f	EGAR00001180021	ESAD-UK	LP6007602.bam	207485000000	LP6007602	8ee0776f21a85e73fe0094e5614302d9	EGAX00001175423
EGAF00000525259	EGAD00001003842	EGAN00001198213		744c91954754d0610336161c52b1ab15	EGAR00001192995	ESAD-UK	SM-4AWN8.bam	97876746824	SM-4AWN8	8afffc82dc9618a4ebf0568b8c857399	EGAX00001187773
EGAF00000905658	EGAD00001003842	EGAN00001342153		e7fe8bd30d3b31187683b483dd0a8735	EGAR00001370202	ESAD-UK	LP6008141-DNA_E02.bam	95446636621	LP6008141-DNA_E02	685da9866978ebd6f7b2f17c0f69189a	EGAX00001340375
EGAF00001680622	EGAD00001003842	EGAN00001558902		45445c985cafb236ce3c0433a500d970	EGAR00001566491	ESAD-UK	LP6008269-DNA_H06.bam		LP6008269-DNA_H06	18ddd5a2736f40adc9431b2461d3f52a	EGAX00001522257
EGAF00000560147	EGAD00001003842	EGAN00001202484		4aec78998515fd818dba41ea60b70fdf	EGAR00001202515	ESAD-UK	LP6005499-DNA_A01.bam	101398000000	LP6005499-DNA_A01	5dca80a33d00fef2a22594e4a18b3f23	EGAX00001197171
EGAF00000525465	EGAD00001003842	EGAN00001198373		397b7e070f04dbb625f94174e589d379	EGAR00001193120	ESAD-UK	LP6005690-DNA_B01.bam	194108000000	LP6005690-DNA_B01	64ff4acee01f5b9e777c4c3330fe9e8a	EGAX00001187898
EGAF00000525485	EGAD00001003842	EGAN00001199978		dc13c4f9335930c1cd5aca53474a9b78	EGAR00001193140	ESAD-UK	SM-4JPUS.bam	166759000000	SM-4JPUS	e872344bcdf9c6ced28ff7a16f15bf1f	EGAX00001187918
EGAF00000525517	EGAD00001003842	EGAN00001200010		7ee5362100c5a91170c6edb7bfd2c0bf	EGAR00001193172	ESAD-UK	LP6007435-DNA_A01.bam	117884000000	LP6007435-DNA_A01	a677732b3049b203479ec9b785dac113	EGAX00001187950
EGAF00000560145	EGAD00001003842	EGAN00001202420		7ed9a670d002711c6eb4b565bc802315	EGAR00001202513	ESAD-UK	LP6005500-DNA_G03.bam	190312000000	LP6005500-DNA_G03	43a2c5150c2bf8e25c9ae6007126967e	EGAX00001197169
EGAF00001680613	EGAD00001003842	EGAN00001558893		026f980ee59af4e83a4bb10fff7d71ed	EGAR00001566482	ESAD-UK	LP6008269-DNA_D05.bam		LP6008269-DNA_D05	c752c15c5dee5366d0cca788359332b9	EGAX00001522248
EGAF00000525273	EGAD00001003842	EGAN00001198227		7cf0bedfd8d0b75734581f2fb9519e59	EGAR00001193009	ESAD-UK	SM-4B295.bam	164860000000	SM-4B295	d1b21520973e297321e154907164cc6b	EGAX00001187787
EGAF00000525212	EGAD00001003842	EGAN00001198166		643d345cbad1e353171d280581f94759	EGAR00001192948	ESAD-UK	LP6005408-DNA_F01.bam	93572272605	LP6005408-DNA_F01	8c193972e44ba2a8cd80e2e76b33494d	EGAX00001187726
EGAF00001680617	EGAD00001003842	EGAN00001558897		125a8049ef0251e87efde455933907a9	EGAR00001566486	ESAD-UK	LP6008269-DNA_C06.bam		LP6008269-DNA_C06	0f77d6c1e75fe01c56f8c1af805d9016	EGAX00001522252
EGAF00000525214	EGAD00001003842	EGAN00001198168		73be1395ffcb92b887cdb46a7b7766af	EGAR00001192950	ESAD-UK	LP6005408-DNA_A02.bam	93725161980	LP6005408-DNA_A02	bd68797203d4e30df392e98d375deef0	EGAX00001187728
EGAF00001680618	EGAD00001003842	EGAN00001558898		6f008cd3f848cc6b274b6cebdf43ac89	EGAR00001566487	ESAD-UK	LP6008269-DNA_D06.bam		LP6008269-DNA_D06	537a146b367c90e3ec375e4494a7028a	EGAX00001522253
EGAF00000560157	EGAD00001003842	EGAN00001202494		eb2039cdd285f384c674802308549391	EGAR00001202525	ESAD-UK	LP6005499-DNA_C02.bam	116009000000	LP6005499-DNA_C02	331602dc0cf3868c9224993663b62ae3	EGAX00001197181
EGAF00001415444	EGAD00001003842	EGAN00001467534		a28e9074e51b5e36ee55c5e9eea2b1c9	EGAR00001500348	ESAD-UK	LP6008264-DNA_G02.bam		LP6008264-DNA_G02	a7e1db36f8d2a018c75c3d8a3aced73e	EGAX00001462786
EGAF00000525224	EGAD00001003842	EGAN00001198178		7c52203be40eb079db83e7bb4e333d1b	EGAR00001192960	ESAD-UK	LP6005408-DNA_C03.bam	88970710496	LP6005408-DNA_C03	c5b24371b36d5b88b61844d00fbc4584	EGAX00001187738
EGAF00000560164	EGAD00001003842	EGAN00001202501		0bdeffc82af49774cc15831331ad9bd1	EGAR00001202532	ESAD-UK	LP6005499-DNA_B03.bam	97731110758	LP6005499-DNA_B03	ee61584247d8eae9288e50a0b602462f	EGAX00001197188
EGAF00000814158	EGAD00001003842	EGAN00001277431		62254b348410f21d11e45a3197222c73	EGAR00001325062	ESAD-UK	LP6008050-DNA_C01.bam	46274235529	LP6008050-DNA_C01	1dec32ebe656a8a900f43b5e5b1dd52b	EGAX00001296348
EGAF00000814043	EGAD00001003842	EGAN00001277402		9004bbf369dbecf7191cb6bf3c65df39	EGAR00001325033	ESAD-UK	LP6008031-DNA_A01.bam	115043000000	LP6008031-DNA_A01	5fabeaeb858c22e4c47e7d3af955e1b2	EGAX00001296319
EGAF00001415376	EGAD00001003842	EGAN00001467506		81b969029ae245a9117616caaa463208	EGAR00001500320	ESAD-UK	LP6008280-DNA_E01.bam	133562000000	LP6008280-DNA_E01	5f234a20a53a8d0cbaf54c51b938edc3	EGAX00001462758
EGAF00000814104	EGAD00001003842	EGAN00001277392		8d4e7a36eef4f5342a9e2da159a39676	EGAR00001325023	ESAD-UK	LP6008032-DNA_G02.bam	56516862757	LP6008032-DNA_G02	714e2cfa9bcc70107b44586a15ba0bc7	EGAX00001296309
EGAF00000905641	EGAD00001003842	EGAN00001342136		20ddb3d93d10df4abe2568d932b09b1f	EGAR00001370185	ESAD-UK	LP6008138-DNA_F02.bam	47440515148	LP6008138-DNA_F02	951e837959b6b6bbf7a1eeea722de205	EGAX00001340358
EGAF00001680642	EGAD00001003842	EGAN00001558922		ab1069b95f4d98ff97e1fce3f585af47	EGAR00001566511	ESAD-UK	LP6008269-DNA_E09.bam		LP6008269-DNA_E09	4b7d5ba9c813f1abc5f53baa4b4c334e	EGAX00001522277
EGAF00001415382	EGAD00001003842	EGAN00001467512		42933a590ff8361b8b3c5660d431f517	EGAR00001500326	ESAD-UK	LP6008280-DNA_C02.bam		LP6008280-DNA_C02	66fded4c03c9bed2d324a49c19a360fd	EGAX00001462764
EGAF00000235886	EGAD00001003842	EGAN00001167665		599e8232c37bcd867770341a9bfc459d	EGAR00001130630	ESAD-UK	pilot1/SS6003121.bam	190736000000	SS6003121	476ca273dfe7ded62cb27b249515728d	EGAX00001126743
EGAF00001180001	EGAD00001003842	EGAN00001391406		6f49b9ed21193fcf4cd8198f5d46d897	EGAR00001436388	ESAD-UK	LP6008201-DNA_B02.bam		LP6008201-DNA_B02	3d29e12744b67e19deecde62ac210bd6	EGAX00001399279
EGAF00000814157	EGAD00001003842	EGAN00001277430		7d85470a986e675599c1fad32e495594	EGAR00001325061	ESAD-UK	LP6008050-DNA_B01.bam	45293970608	LP6008050-DNA_B01	36bec524c08c2cab07afb801029c5e0c	EGAX00001296347
EGAF00000530894	EGAD00001003842	EGAN00001201498		778d0318dd3bca932c8a0164d266d0e1	EGAR00001193682	ESAD-UK	LP6007567-DNA_A01.bam	169359000000	LP6007567-DNA_A01	4d66eab9ec4f308ff13a2eba6617f170	EGAX00001188460
EGAF00000814090	EGAD00001003842	EGAN00001277378		c04bb15087502952903061e196e0a493	EGAR00001325009	ESAD-UK	LP6008032-DNA_A01.bam	55890239362	LP6008032-DNA_A01	286b1b450534c77cf85d8a757fcb000b	EGAX00001296295
EGAF00001415373	EGAD00001003842	EGAN00001467503		841663853f26c8d75b03c37eae13b9f7	EGAR00001500317	ESAD-UK	LP6008280-DNA_A01.bam	109162000000	LP6008280-DNA_A01	38e0f7b0a94bd4d4f25dd2acbe0165f7	EGAX00001462755
EGAF00000586514	EGAD00001003842	EGAN00001213570		9506be1f71cd5f31029c89816e16c481	EGAR00001219070	ESAD-UK	LP6005334-DNA_F03.bam	173503000000	LP6005334-DNA_F03	da15ccfee2ec45265158001f29ce296b	EGAX00001207512
EGAF00001180090	EGAD00001003842	EGAN00001391426		f3043050139ce27d0d5b6aa0b6746b0d	EGAR00001436408	ESAD-UK	LP6008220-DNA_B02.bam		LP6008220-DNA_B02	c33b472961adb18fff1cc7399e90cd9c	EGAX00001399299
EGAF00000525251	EGAD00001003842	EGAN00001198205		6f76d98240d3ab421f67f634a38ec901	EGAR00001192987	ESAD-UK	LP6005409-DNA_A02.bam	156359000000	LP6005409-DNA_A02	9490c9a52c8959284b29a208214c4484	EGAX00001187765
EGAF00000235885	EGAD00001003842	EGAN00001167664		0d9b752ad8fe480cd9c0fbe524a13ea6	EGAR00001130629	ESAD-UK	pilot1/SS6003148.bam	181959000000	SS6003148	75220208e9d3fab24e64f176990ff6f1	EGAX00001126742
EGAF00001179997	EGAD00001003842	EGAN00001391402		1ed27bebe18508a4da9ca061106b861a	EGAR00001436384	ESAD-UK	LP6008201-DNA_F01.bam	53294376755	LP6008201-DNA_F01	76fdf59ef249a8593c55d0e451943ab0	EGAX00001399275
EGAF00000530901	EGAD00001003842	EGAN00001201505		cc620adc10cd5ddc7f24f0737a781f4c	EGAR00001193689	ESAD-UK	LP6007505-DNA_A01.bam	140290000000	LP6007505-DNA_A01	bf0ea4c4e60da6c8dc2ff06b3de10620	EGAX00001188467
EGAF00001180087	EGAD00001003842	EGAN00001391423		0f83c9f7a5ea1b4b7c3948e334f3dd36	EGAR00001436405	ESAD-UK	LP6008220-DNA_G01.bam		LP6008220-DNA_G01	b578aa652ac7b4ca66d73f22ff8e8ca6	EGAX00001399296
EGAF00000560162	EGAD00001003842	EGAN00001202499		d0d0f24a386c4d01e3b15fe9e504019d	EGAR00001202530	ESAD-UK	LP6005499-DNA_H02.bam	99245904989	LP6005499-DNA_H02	30035ac5d86d6e644aa2118d26a6d16b	EGAX00001197186
EGAF00000661615	EGAD00001003842	EGAN00001246594		017c08e3617dfb74d009dea35db36751	EGAR00001253313	ESAD-UK	LP6005935-DNA_B03.bam	113938000000	LP6005935-DNA_B03	feb56947822c7dc0358317745db25e9a	EGAX00001238213
EGAF00000525448	EGAD00001003842	EGAN00001198356		9c4e34aa630eb992a1eb447bd369b0ed	EGAR00001193103	ESAD-UK	LP6005689-DNA_F02.bam	106647000000	LP6005689-DNA_F02	9ee4fd2245fb05e7c79ba8219ece93e3	EGAX00001187881
EGAF00000586540	EGAD00001003842	EGAN00001213596		b54bcd8a27bace7af16b913a7962c903	EGAR00001219096	ESAD-UK	LP6005333-DNA_A04.bam	93524870948	LP6005333-DNA_A04	56a72290b2805cbb1fc7d06780286ae4	EGAX00001207538
EGAF00000560158	EGAD00001003842	EGAN00001202495		4dd314e41200a151a0d39d89fc59df9e	EGAR00001202526	ESAD-UK	LP6005499-DNA_D02.bam	110382000000	LP6005499-DNA_D02	2ffbed62c36626efec4e07bee9f84544	EGAX00001197182
EGAF00000661718	EGAD00001003842	EGAN00001246641		9d7f5a5cca3faf24ab322163ec1c3c2b	EGAR00001253360	ESAD-UK	LP2000328-DNA_A01.bam	145190000000	LP2000328-DNA_A01	a23a51cd87a6ae537ca8884b7c2d4124	EGAX00001238260
EGAF00000530922	EGAD00001003842	EGAN00001201526		25a4aaed1a532a6bd6061c0a0c3e474f	EGAR00001193710	ESAD-UK	LP6007551-DNA_A01.bam	129342000000	LP6007551-DNA_A01	83827f745db7894312dc637f425b7fea	EGAX00001188488
EGAF00000814106	EGAD00001003842	EGAN00001277394		5bb503c771c6d41695c0b9ce1ae83d62	EGAR00001325025	ESAD-UK	LP6008032-DNA_A03.bam	54489710655	LP6008032-DNA_A03	62507272fc7738b3bfa194d45ed7ed78	EGAX00001296311
EGAF00000814097	EGAD00001003842	EGAN00001277385		8242bbf069ba37cbd3f347d8dfae3c3c	EGAR00001325016	ESAD-UK	LP6008032-DNA_H01.bam		LP6008032-DNA_H01	123eddf793f4439a870212fca9e7636e	EGAX00001296302
EGAF00000814143	EGAD00001003842	EGAN00001277404		2b125fbe99f5cd929350b7281a8f93c0	EGAR00001325035	ESAD-UK	LP6008031-DNA_C01.bam	79540179775	LP6008031-DNA_C01	2d55d2110d03985204cf227749d58894	EGAX00001296321
EGAF00001180088	EGAD00001003842	EGAN00001391424		599735d32961ae9bc3bd2baafc651fcf	EGAR00001436406	ESAD-UK	LP6008220-DNA_H01.bam		LP6008220-DNA_H01	215450540abfe063e019efc1144f1194	EGAX00001399297
EGAF00000661642	EGAD00001003842	EGAN00001246626		55003ce2c46e97d1946821236517bbff	EGAR00001253345	ESAD-UK	LP6005934-DNA_C03.bam	93785979802	LP6005934-DNA_C03	055dbc7ea8f90442d2cadbaf0d6a1f49	EGAX00001238245
EGAF00000586545	EGAD00001003842	EGAN00001213605		5705026cab69c7afc1c142e50b33a871	EGAR00001219149	ESAD-UK	LP6005334-DNA_A02.bam	202585000000	LP6005334-DNA_A02	f235f9defb701731b5193f7828193753	EGAX00001207591
EGAF00000530885	EGAD00001003842	EGAN00001201489		9d18c77e41afbd12cc6d8ef4a2a1477e	EGAR00001193673	ESAD-UK	LP6007535-DNA_A01.bam	185188000000	LP6007535-DNA_A01	fab6fe5a2f79b3f715e678815c49bf56	EGAX00001188451
